name,artist,id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
I Am I Said,Mikey Spice,4yHUoSufJszmt3vP3HPlda,0,reggae,0.653,0.608,10,-5.005,1,0.0486,0.0189,0.0,0.119,0.668,82.814,audio_features,spotify:track:4yHUoSufJszmt3vP3HPlda,https://api.spotify.com/v1/tracks/4yHUoSufJszmt3vP3HPlda,https://api.spotify.com/v1/audio-analysis/4yHUoSufJszmt3vP3HPlda,245760,4
The Same Song - Edit,Israel Vibration,3qkgDUwKyHht3WmNTFHg0C,40,reggae,0.924,0.546,8,-6.583,0,0.233,0.141,0.00136,0.0361,0.685,123.33,audio_features,spotify:track:3qkgDUwKyHht3WmNTFHg0C,https://api.spotify.com/v1/tracks/3qkgDUwKyHht3WmNTFHg0C,https://api.spotify.com/v1/audio-analysis/3qkgDUwKyHht3WmNTFHg0C,239613,4
Tough Life,Junior Kelly,3uZOOMnoFYfD6zNSS8hoGL,0,reggae,0.666,0.817,6,-3.137,0,0.247,0.193,0.0,0.0979,0.818,85.311,audio_features,spotify:track:3uZOOMnoFYfD6zNSS8hoGL,https://api.spotify.com/v1/tracks/3uZOOMnoFYfD6zNSS8hoGL,https://api.spotify.com/v1/audio-analysis/3uZOOMnoFYfD6zNSS8hoGL,246787,4
Be Free,Pressure,4ZcL0odV4cJv5GSXjQlb8c,0,reggae,0.695,0.653,0,-4.858,1,0.292,0.432,0.0,0.0712,0.737,92.177,audio_features,spotify:track:4ZcL0odV4cJv5GSXjQlb8c,https://api.spotify.com/v1/tracks/4ZcL0odV4cJv5GSXjQlb8c,https://api.spotify.com/v1/audio-analysis/4ZcL0odV4cJv5GSXjQlb8c,199640,4
Ring the Alarm,Tenor Saw,1REJRpQNstNXaPtWSrsHa3,12,reggae,0.666,0.582,6,-6.131,1,0.209,0.227,0.0,0.0945,0.733,170.915,audio_features,spotify:track:1REJRpQNstNXaPtWSrsHa3,https://api.spotify.com/v1/tracks/1REJRpQNstNXaPtWSrsHa3,https://api.spotify.com/v1/audio-analysis/1REJRpQNstNXaPtWSrsHa3,188827,4
Come Over [Missing You],Busy Signal,4MAo6tvIRCEjUZLOrC9Z4q,52,reggae,0.637,0.651,5,-5.289,0,0.0846,0.0608,0.0,0.245,0.544,89.873,audio_features,spotify:track:4MAo6tvIRCEjUZLOrC9Z4q,https://api.spotify.com/v1/tracks/4MAo6tvIRCEjUZLOrC9Z4q,https://api.spotify.com/v1/audio-analysis/4MAo6tvIRCEjUZLOrC9Z4q,208667,4
Stop Sign - Raw,Konshens,44aIMABeaxynSkmuijz1Nt,0,reggae,0.823,0.751,10,-5.168,0,0.17,0.131,0.0,0.268,0.779,100.968,audio_features,spotify:track:44aIMABeaxynSkmuijz1Nt,https://api.spotify.com/v1/tracks/44aIMABeaxynSkmuijz1Nt,https://api.spotify.com/v1/audio-analysis/44aIMABeaxynSkmuijz1Nt,165739,4
The Rivers of Babylon,The Melodians,1309J5udF4Nx640HUamjif,22,reggae,0.78,0.354,7,-12.927,1,0.0505,0.815,0.00225,0.0991,0.886,106.73,audio_features,spotify:track:1309J5udF4Nx640HUamjif,https://api.spotify.com/v1/tracks/1309J5udF4Nx640HUamjif,https://api.spotify.com/v1/audio-analysis/1309J5udF4Nx640HUamjif,238507,4
It A Fi Burn,Josey Wales,6XRjCtbwLrGKQQsxG3vLWz,0,reggae,0.776,0.683,8,-7.25,1,0.194,0.189,0.000442,0.279,0.871,145.566,audio_features,spotify:track:6XRjCtbwLrGKQQsxG3vLWz,https://api.spotify.com/v1/tracks/6XRjCtbwLrGKQQsxG3vLWz,https://api.spotify.com/v1/audio-analysis/6XRjCtbwLrGKQQsxG3vLWz,193213,4
Eternal Fire,Chronixx,1rmY25MHtizKR2mG1scI4D,0,reggae,0.616,0.738,9,-7.362,0,0.072,0.164,2.74e-05,0.2,0.803,84.98,audio_features,spotify:track:1rmY25MHtizKR2mG1scI4D,https://api.spotify.com/v1/tracks/1rmY25MHtizKR2mG1scI4D,https://api.spotify.com/v1/audio-analysis/1rmY25MHtizKR2mG1scI4D,239240,4
Business Of War,Pupajim,78Ax0J9r8wFsPFmdp00wWf,0,reggae,0.948,0.243,10,-15.915,0,0.103,0.0185,2.02e-06,0.0728,0.419,136.975,audio_features,spotify:track:78Ax0J9r8wFsPFmdp00wWf,https://api.spotify.com/v1/tracks/78Ax0J9r8wFsPFmdp00wWf,https://api.spotify.com/v1/audio-analysis/78Ax0J9r8wFsPFmdp00wWf,248120,4
Nah Let Go,Gyptian,0cJiOFuB3zftGKDRE0UhYf,44,reggae,0.426,0.701,1,-5.994,1,0.0372,0.0987,1.26e-06,0.3,0.584,97.994,audio_features,spotify:track:0cJiOFuB3zftGKDRE0UhYf,https://api.spotify.com/v1/tracks/0cJiOFuB3zftGKDRE0UhYf,https://api.spotify.com/v1/audio-analysis/0cJiOFuB3zftGKDRE0UhYf,200653,4
Good Thing Going,Sugar Minott,4MM4UlT0j7MePs9bMoi34N,0,reggae,0.671,0.519,1,-11.165,1,0.0376,0.645,0.000368,0.31,0.939,77.532,audio_features,spotify:track:4MM4UlT0j7MePs9bMoi34N,https://api.spotify.com/v1/tracks/4MM4UlT0j7MePs9bMoi34N,https://api.spotify.com/v1/audio-analysis/4MM4UlT0j7MePs9bMoi34N,197333,4
Great is H.I.M,Iba Mahr,4SnndHxL7x76gOlfv79o9w,0,reggae,0.595,0.732,9,-4.975,0,0.308,0.207,0.0,0.215,0.818,83.98,audio_features,spotify:track:4SnndHxL7x76gOlfv79o9w,https://api.spotify.com/v1/tracks/4SnndHxL7x76gOlfv79o9w,https://api.spotify.com/v1/audio-analysis/4SnndHxL7x76gOlfv79o9w,277958,4
Groovy Little Thing,Beres Hammond,0JqThiSv8cQU3DG0iWn9By,0,reggae,0.582,0.56,2,-9.075,1,0.326,0.0484,4.15e-06,0.0909,0.649,72.784,audio_features,spotify:track:0JqThiSv8cQU3DG0iWn9By,https://api.spotify.com/v1/tracks/0JqThiSv8cQU3DG0iWn9By,https://api.spotify.com/v1/audio-analysis/0JqThiSv8cQU3DG0iWn9By,208480,4
Champion Sound (feat. Errol Dunkley),Sizzla,5tzolRcy9uhUMuddsi0tiC,8,reggae,0.764,0.81,9,-4.58,0,0.197,0.0105,0.0,0.417,0.833,78.544,audio_features,spotify:track:5tzolRcy9uhUMuddsi0tiC,https://api.spotify.com/v1/tracks/5tzolRcy9uhUMuddsi0tiC,https://api.spotify.com/v1/audio-analysis/5tzolRcy9uhUMuddsi0tiC,285693,4
Gyal Bruk Out,Alkaline,3oeicU1vhOHoySeNBhSUFv,0,reggae,0.694,0.652,7,-5.278,0,0.445,0.391,0.0,0.32,0.721,180.432,audio_features,spotify:track:3oeicU1vhOHoySeNBhSUFv,https://api.spotify.com/v1/tracks/3oeicU1vhOHoySeNBhSUFv,https://api.spotify.com/v1/audio-analysis/3oeicU1vhOHoySeNBhSUFv,161042,4
Sponji Reggae,Black Uhuru,3HXbnlAREOybNI0oqdmj8D,0,reggae,0.685,0.693,7,-7.706,0,0.072,0.113,0.000617,0.0541,0.861,74.849,audio_features,spotify:track:3HXbnlAREOybNI0oqdmj8D,https://api.spotify.com/v1/tracks/3HXbnlAREOybNI0oqdmj8D,https://api.spotify.com/v1/audio-analysis/3HXbnlAREOybNI0oqdmj8D,298467,4
Back Way,Cham,7p7gbKG2VhinhvCKNdFGIs,0,reggae,0.589,0.461,1,-6.173,1,0.211,0.121,0.0,0.104,0.693,82.031,audio_features,spotify:track:7p7gbKG2VhinhvCKNdFGIs,https://api.spotify.com/v1/tracks/7p7gbKG2VhinhvCKNdFGIs,https://api.spotify.com/v1/audio-analysis/7p7gbKG2VhinhvCKNdFGIs,239268,4
Ku Klux Klan,Steel Pulse,0NlA0b2RNynMGZoxZm8hSq,0,reggae,0.735,0.514,9,-12.18,0,0.141,0.0205,0.0,0.0316,0.817,128.865,audio_features,spotify:track:0NlA0b2RNynMGZoxZm8hSq,https://api.spotify.com/v1/tracks/0NlA0b2RNynMGZoxZm8hSq,https://api.spotify.com/v1/audio-analysis/0NlA0b2RNynMGZoxZm8hSq,221693,4
